Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,UNDER 1,628,4.5%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,UNDER 1,710,4.3%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,UNDER 10,5939,42.4%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,UNDER 10,7186,43.2%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,UNDER 15,8152,58.2%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,UNDER 15,9772,58.8%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,UNDER 5,3266,23.3%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,UNDER 5,3930,23.6%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,05 - 24,4483,52.4%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,05 - 24,5863,54.8%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,15 - 49,3395,39.7%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,15 - 49,4761,44.5%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,15 - 64,3696,43.2%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,15 - 64,5212,48.7%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,18 - 60,3141,36.7%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,18 - 60,4244,39.6%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,18 &  ABOVE,3238,37.9%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,18 &  ABOVE,4479,41.8%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,60 &  ABOVE,107,1.3%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,60 &  ABOVE,260,2.4%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,65 &  ABOVE,63,0.7%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,65 &  ABOVE,153,1.4%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,UNDER 1,312,3.6%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,UNDER 1,301,2.8%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,UNDER 10,3606,42.2%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,UNDER 10,3840,35.9%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,UNDER 15,4793,56%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,UNDER 15,5342,49.9%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Female,UNDER 5,1877,21.9%
Balochistan,Rural,Chagai,Taftan,SUB-DIVISION,Male,UNDER 5,1942,18.1%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,05 - 24,5782,52.1%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,05 - 24,6206,52.5%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,15 - 49,4503,40.6%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,15 - 49,4844,41%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,15 - 64,5034,45.4%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,15 - 64,5516,46.7%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,18 - 60,4101,37%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,18 - 60,4299,36.4%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,18 &  ABOVE,4497,40.5%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,18 &  ABOVE,4763,40.3%
