DISTRICT,PROVINCE,hci,fci,lap,soi,archetype_tercile,archetype_median,cluster,literacy_rate_calc,urdu_pct,dependency_ratio,electrification,flush_toilet
DUKI,BALOCHISTAN,0.301871071702198,0.499480323332323,0.441362910654613,0.505856506691877,Anchor,Anchor,4,0.4418456042001,0.00109244845008876,0.879792442105649,0.570612415522887,0.448361550430804
LORALAI,BALOCHISTAN,0.511503166195795,0.528511036694534,0.429346658878859,0.381577316061745,Other,Anchor,4,0.431646195157094,0.00532736371601253,1.15520510789467,0.547678861150364,0.523525409535772
MUSAKHEL,BALOCHISTAN,0.475418250981978,0.657412822947013,0.365860856555823,0.329060032347397,Other,Anchor,4,0.365999405226571,0.000378548895899054,1.35041908446164,0.24760015359017,0.267246896198643
GWADAR,BALOCHISTAN,0.656974066691615,0.343131935269363,0.500944822986449,0.61187939065688,Other,Vanguard,2,0.502952774299651,0.00399232575264752,0.846890856752537,0.801199436026769,0.784756836189606
KECH,BALOCHISTAN,0.548654033893824,0.457325404108008,0.495978835710472,0.628339480474215,Other,Anchor,2,0.496468371025893,0.000986035252174274,0.804765347873797,0.609720879771181,0.562528848998915
JAFFARABAD,BALOCHISTAN,0.327749999772748,0.667369916889485,0.354612513772703,0.376189976927022,Anchor,Anchor,4,0.355252443547493,0.0018013381369017,1.15345442691827,0.745837522375616,0.473651945759054
JHAL MAGSI,BALOCHISTAN,0.268081892441003,0.665841389006755,0.301103186829671,0.348287637519607,Anchor,Anchor,4,0.301383277303149,0.000929349750206522,1.1006052843597,0.449617161502924,0.346073078538429
KACHHI,BALOCHISTAN,0.14581469435698,0.55854334106545,0.30101158476046,0.312797935650015,Anchor,Anchor,4,0.301996696217963,0.00326199415371131,1.27771546179573,0.774504317236968,0.494163735209466
NASIRABAD,BALOCHISTAN,0.195210471278872,0.65847982041093,0.289292114915684,0.317416973225314,Anchor,Anchor,4,0.289622706858931,0.00114145726636074,1.19201509815748,0.703631335984277,0.306092600210247
SOHBATPUR,BALOCHISTAN,0.473469329756013,0.744048024603885,0.409810234562624,0.3083498317968,Other,Anchor,4,0.410232245527137,0.0010287123187259,1.40942068979358,0.770231813600522,0.335003260805122
KILLA ABDULLAH,BALOCHISTAN,0.190645468065285,0.485458245537469,0.363787222264646,0.452372533092746,Anchor,Anchor,4,0.364024561157633,0.000651985932574709,1.0527461933252,0.264783248376406,0.507378620576915
PISHIN,BALOCHISTAN,0.44356246133243,0.368083654271179,0.510428113641782,0.470395497755945,Other,Anchor,2,0.510674440671677,0.000482356292535327,1.13070111905661,0.534701226347794,0.65305567822808
CHAGAI,BALOCHISTAN,0.255875271886,0.391741485579333,0.331181551313896,0.417891124131292,Other,Anchor,4,0.33145919563605,0.000837642538838692,1.18113388333117,0.352419333734593,0.659749299976448
KHARAN,BALOCHISTAN,0.374625455871116,0.42150696589006,0.410625722186773,0.449898507286032,Other,Anchor,4,0.410720375665679,0.000230457227138643,1.36758968762788,0.596490249142092,0.531847222609715
NUSHKI,BALOCHISTAN,0.607121719492572,0.282391695825333,0.570352766083305,0.467471658016197,Other,Vanguard,2,0.5711576794153,0.00140926640926641,1.02254868466006,0.846808510638298,0.694736842105263
