"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","18 - 60",52778,27744,25033,1,NA,NA,NA,NA,52778,27744,25033,1,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","18 &  ABOVE",56195,29734,26460,1,NA,NA,NA,NA,56195,29734,26460,1,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","60 &  ABOVE",3786,2192,1594,NA,NA,NA,NA,NA,3786,2192,1594,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","65 &  ABOVE",2433,1447,986,NA,NA,NA,NA,NA,2433,1447,986,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","ALL AGES",336079,189666,146401,12,336079,189666,146401,12,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","UNDER 1",7983,4646,3337,NA,7983,4646,3337,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","UNDER 5",71601,42189,29412,NA,71601,42189,29412,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","UNDER 10",135974,79517,56457,NA,135974,79517,56457,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","UNDER 15",187341,109763,77573,5,187341,109763,77573,5,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","05 - 24",183687,104688,78991,8,183687,104688,78991,8,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","15 - 49",131519,70272,61240,7,131519,70272,61240,7,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","15 - 64",143661,76975,66679,7,143661,76975,66679,7,NA,NA,NA,NA,NA
