"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BALOCHISTAN","50 - 54","NEVER MARRIED",5187,1835,3328,24,2665,926,1725,14,2522,909,1603,10
"BALOCHISTAN","BALOCHISTAN","50 - 54","SEPERATION",452,250,202,0,340,191,149,0,112,59,53,0
"BALOCHISTAN","BALOCHISTAN","50 - 54","WIDOWED",16342,13439,2903,0,10581,8610,1971,0,5761,4829,932,0
"BALOCHISTAN","BALOCHISTAN","55 - 59","DIVORCED",369,210,159,0,253,140,113,0,116,70,46,0
"BALOCHISTAN","BALOCHISTAN","55 - 59","MARRIED",225199,94996,130203,0,152178,65093,87085,0,73021,29903,43118,0
"BALOCHISTAN","BALOCHISTAN","55 - 59","NEVER MARRIED",3425,1145,2263,17,1852,612,1230,10,1573,533,1033,7
"BALOCHISTAN","BALOCHISTAN","55 - 59","SEPERATION",316,165,151,0,226,114,112,0,90,51,39,0
"BALOCHISTAN","BALOCHISTAN","55 - 59","WIDOWED",16151,13079,3072,0,10072,8062,2010,0,6079,5017,1062,0
"BALOCHISTAN","BALOCHISTAN","60 - 64","DIVORCED",275,139,136,0,212,112,100,0,63,27,36,0
"BALOCHISTAN","BALOCHISTAN","60 - 64","MARRIED",166595,65624,100971,0,114543,45878,68665,0,52052,19746,32306,0
"BALOCHISTAN","BALOCHISTAN","60 - 64","NEVER MARRIED",2180,688,1482,10,1143,360,777,6,1037,328,705,4
"BALOCHISTAN","BALOCHISTAN","60 - 64","SEPERATION",267,150,117,0,203,118,85,0,64,32,32,0
"BALOCHISTAN","BALOCHISTAN","60 - 64","WIDOWED",19116,15515,3601,0,12258,9835,2423,0,6858,5680,1178,0
"BALOCHISTAN","BALOCHISTAN","65 - 69","DIVORCED",170,94,76,0,129,71,58,0,41,23,18,0
"BALOCHISTAN","BALOCHISTAN","65 - 69","MARRIED",107338,41170,66168,0,73943,28809,45134,0,33395,12361,21034,0
"BALOCHISTAN","BALOCHISTAN","65 - 69","NEVER MARRIED",1404,394,1000,10,739,211,520,8,665,183,480,2
"BALOCHISTAN","BALOCHISTAN","65 - 69","SEPERATION",179,94,85,0,133,72,61,0,46,22,24,0
"BALOCHISTAN","BALOCHISTAN","65 - 69","WIDOWED",16932,13516,3416,0,10642,8398,2244,0,6290,5118,1172,0
"BALOCHISTAN","BALOCHISTAN","70 - 74","DIVORCED",90,49,41,0,68,38,30,0,22,11,11,0
"BALOCHISTAN","BALOCHISTAN","70 - 74","MARRIED",73766,26045,47721,0,52405,18818,33587,0,21361,7227,14134,0
"BALOCHISTAN","BALOCHISTAN","70 - 74","NEVER MARRIED",657,231,423,3,365,120,243,2,292,111,180,1
"BALOCHISTAN","BALOCHISTAN","70 - 74","SEPERATION",147,75,72,0,128,69,59,0,19,6,13,0
"BALOCHISTAN","BALOCHISTAN","70 - 74","WIDOWED",17178,13532,3646,0,11363,8925,2438,0,5815,4607,1208,0
"BALOCHISTAN","BALOCHISTAN","75 & ABOVE","DIVORCED",136,54,82,0,110,46,64,0,26,8,18,0
"BALOCHISTAN","BALOCHISTAN","75 & ABOVE","MARRIED",67279,20873,46406,0,48615,14938,33677,0,18664,5935,12729,0
"BALOCHISTAN","BALOCHISTAN","75 & ABOVE","NEVER MARRIED",799,221,569,9,449,126,317,6,350,95,252,3
"BALOCHISTAN","BALOCHISTAN","75 & ABOVE","SEPERATION",240,76,164,0,197,60,137,0,43,16,27,0
"BALOCHISTAN","BALOCHISTAN","75 & ABOVE","WIDOWED",21548,15791,5757,0,14725,10766,3959,0,6823,5025,1798,0
"BALOCHISTAN","BARKHAN","15 &  ABOVE","DIVORCED",45,36,9,0,43,34,9,0,2,2,0,0
"BALOCHISTAN","BARKHAN","15 &  ABOVE","MARRIED",66158,33581,32577,0,61336,31131,30205,0,4822,2450,2372,0
"BALOCHISTAN","BARKHAN","15 &  ABOVE","NEVER MARRIED",26421,10390,16025,6,23874,9309,14560,5,2547,1081,1465,1
"BALOCHISTAN","BARKHAN","15 &  ABOVE","SEPERATION",49,26,23,0,49,26,23,0,0,0,0,0
