"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","OVERALL",16312,7098,5235,8025,3052,7142,3268
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","RURAL",12865,5679,2984,6859,3022,5734,3225
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","URBAN",3447,1419,2251,1166,30,1408,43
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","OVERALL",7176,3599,5095,1370,711,3367,986
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","RURAL",4361,2076,2611,1052,698,1994,809
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","URBAN",2815,1523,2484,318,13,1373,177
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","OVERALL",2723,981,541,1578,604,1095,435
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","RURAL",2723,981,541,1578,604,1095,435
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","OVERALL",5699,3379,4811,253,635,3796,421
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","RURAL",3379,1434,2617,137,625,1842,412
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","URBAN",2320,1945,2194,116,10,1954,9
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","OVERALL",11599,4175,4208,5583,1808,4260,1500
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","RURAL",11599,4175,4208,5583,1808,4260,1500
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","OVERALL",1274,550,182,425,667,670,528
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","RURAL",1274,550,182,425,667,670,528
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","OVERALL",2486,1253,408,1051,1027,1535,758
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","RURAL",2486,1253,408,1051,1027,1535,758
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","OVERALL",20124,10262,9575,5112,5437,12248,3368
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","RURAL",14926,6290,4714,4814,5398,8176,3324
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","URBAN",5198,3972,4861,298,39,4072,44
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","OVERALL",9217,4852,3547,4405,1265,5555,900
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","RURAL",9217,4852,3547,4405,1265,5555,900
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","OVERALL",14389,10493,8996,4618,775,12195,340
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","RURAL",14389,10493,8996,4618,775,12195,340
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","OVERALL",24326,9736,12947,6446,4933,12149,2771
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","RURAL",9038,1635,2460,2490,4088,2985,2048
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","URBAN",15288,8101,10487,3956,845,9164,723
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","OVERALL",21083,15283,11088,6816,3179,16826,885
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","RURAL",21083,15283,11088,6816,3179,16826,885
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","OVERALL",16755,6848,6864,2723,7168,10592,934
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","RURAL",16755,6848,6864,2723,7168,10592,934
