District,Metric,Status
Jaffarabad,Wtr_Flag,âœ“
Jhal Magsi,Literacy_Flag,âœ“
Jhal Magsi,Attendance_Flag,âœ“
Jhal Magsi,Energy_Flag_Elec,âœ“
Jhal Magsi,San_Flag,âœ“
Jhal Magsi,Wtr_Flag,âœ“
Kachhi,Literacy_Flag,âœ“
Kachhi,Attendance_Flag,âœ“
Kachhi,Energy_Flag_Elec,âœ“
Kachhi,San_Flag,âœ“
Kachhi,Wtr_Flag,âœ“
Nasirabad,Literacy_Flag,âœ“
Nasirabad,Attendance_Flag,âœ“
Nasirabad,Energy_Flag_Elec,âœ“
Nasirabad,San_Flag,âœ“
Nasirabad,Wtr_Flag,âœ“
Sohbatpur,Literacy_Flag,âœ“
Sohbatpur,Attendance_Flag,âœ“
Sohbatpur,Energy_Flag_Elec,âœ“
Sohbatpur,San_Flag,âœ“
Sohbatpur,Wtr_Flag,âœ“
Chaman,Literacy_Flag,âœ“
Chaman,Attendance_Flag,âœ“
Chaman,Energy_Flag_Elec,âœ“
Chaman,San_Flag,âœ“
Chaman,Wtr_Flag,âœ“
Killa Abdullah,Literacy_Flag,âœ“
Killa Abdullah,Attendance_Flag,âœ“
Killa Abdullah,Energy_Flag_Elec,âœ“
Killa Abdullah,San_Flag,âœ“
Killa Abdullah,Wtr_Flag,âœ“
Pishin,Literacy_Flag,âœ“
Pishin,Attendance_Flag,âœ“
Pishin,Energy_Flag_Elec,âœ“
Pishin,San_Flag,âœ“
Pishin,Wtr_Flag,âœ“
Quetta,Literacy_Flag,âœ“
Quetta,Attendance_Flag,âœ“
Quetta,Energy_Flag_Elec,âœ“
Quetta,San_Flag,âœ“
Quetta,Wtr_Flag,âœ“
Chagai,Literacy_Flag,âœ“
Chagai,Attendance_Flag,âœ“
Chagai,Energy_Flag_Elec,âœ“
Chagai,San_Flag,âœ“
Chagai,Wtr_Flag,âœ“
Kharan,Literacy_Flag,âœ“
Kharan,Attendance_Flag,âœ“
Kharan,Energy_Flag_Elec,âœ“
Kharan,San_Flag,âœ“
Kharan,Wtr_Flag,âœ“
Nushki,Literacy_Flag,âœ“
Nushki,Attendance_Flag,âœ“
Nushki,Energy_Flag_Elec,âœ“
Nushki,San_Flag,âœ“
Nushki,Wtr_Flag,âœ“
Washuk,Literacy_Flag,âœ“
Washuk,Attendance_Flag,âœ“
Washuk,Energy_Flag_Elec,âœ“
Washuk,San_Flag,âœ“
Washuk,Wtr_Flag,âœ“
Dera Bugti,Literacy_Flag,âœ“
Dera Bugti,Attendance_Flag,âœ“
Dera Bugti,Energy_Flag_Elec,âœ“
Dera Bugti,San_Flag,âœ“
Dera Bugti,Wtr_Flag,âœ“
Harnai,Literacy_Flag,âœ“
Harnai,Attendance_Flag,âœ“
Harnai,Energy_Flag_Elec,âœ“
Harnai,San_Flag,âœ“
