"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","DRINK_WTR_IMPROVE","DRINK_WTR_INSIDE","DRINK_WTR_OUTSIDE","DRINK_WTR_TAP","DRINK_WTR_MOTOR","DRINK_WTR_WELL","DRINK_WTR_FILTER","DRINK_WTR_BOTTLE","DRINK_WTR_OTHER"
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","OVERALL",2486,662,415,2071,116,47,1065,NA,7,1251
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","RURAL",2486,662,415,2071,116,47,1065,NA,7,1251
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","OVERALL",20124,12756,5550,14574,7084,3558,4288,4,16,5174
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","RURAL",14926,7688,2568,12358,2377,3349,4242,4,16,4938
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","URBAN",5198,5068,2982,2216,4707,209,46,NA,NA,236
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","OVERALL",9217,5820,2235,6982,2108,1525,2594,5,46,2939
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","RURAL",9217,5820,2235,6982,2108,1525,2594,5,46,2939
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","OVERALL",14389,10200,4425,9964,3208,3696,5871,3,20,1591
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","RURAL",14389,10200,4425,9964,3208,3696,5871,3,20,1591
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","OVERALL",24326,17460,14444,9882,6652,4363,8135,NA,111,5065
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","RURAL",9038,5330,2940,6098,1050,2207,2406,NA,84,3291
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","URBAN",15288,12130,11504,3784,5602,2156,5729,NA,27,1774
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","OVERALL",21083,11078,6624,14459,7259,2138,3777,5,18,7886
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","RURAL",21083,11078,6624,14459,7259,2138,3777,5,18,7886
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","OVERALL",16755,10473,3840,12915,4944,3273,6893,NA,18,1627
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","RURAL",16755,10473,3840,12915,4944,3273,6893,NA,18,1627
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","OVERALL",16348,14044,11397,4951,5877,6034,4174,NA,89,174
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","RURAL",16348,14044,11397,4951,5877,6034,4174,NA,89,174
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","OVERALL",38839,28002,22110,16729,3685,11323,17771,3,85,5972
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","RURAL",23040,14079,11205,11835,671,4055,13272,2,69,4971
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","URBAN",15799,13923,10905,4894,3014,7268,4499,1,16,1001
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","OVERALL",100774,86165,78375,22399,41287,18659,33418,83,254,7073
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","RURAL",42826,33931,28104,14722,7908,11989,18312,1,75,4541
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","URBAN",57948,52234,50271,7677,33379,6670,15106,82,179,2532
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","OVERALL",20961,3035,1894,19067,1494,1240,695,NA,30,17502
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","RURAL",20961,3035,1894,19067,1494,1240,695,NA,30,17502
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","OVERALL",14023,13373,10598,3425,10935,1256,730,2,21,1079
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","RURAL",3003,2767,1007,1996,1259,791,619,NA,17,317
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","URBAN",11020,10606,9591,1429,9676,465,111,2,4,762
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","OVERALL",3598,1853,342,3256,628,760,1046,1,7,1156
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","RURAL",3598,1853,342,3256,628,760,1046,1,7,1156
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","OVERALL",11432,9654,3006,8426,5463,3722,1004,1,17,1225
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","RURAL",11432,9654,3006,8426,5463,3722,1004,1,17,1225
